,original,paraphrase,transformer
1055,"kilogramov kamenja, kar pomeni, da so na primer samo v katastrski občini Trebče, kjer je bilo v začetku prejšnjega stoletja okoli 330 tisoč kvadratnih metrov kultiviranih površin, izkopali, odlomili in prestavili okoli 50 tisoč ton kamenja. Kamenje so nato uporabili za postavljanje za Kras tako značilnih mejnih zidkov med parcelami ali so ga tovorili na kup in oblikovali številne in obsežne kamnite groblje, ki so tu pa tam še danes vidne na robu kraških vasi. Maksimalno agrarno izrabo tal je Kras poznal v prvi polovici prejšnjega stoletja, ko so bile intenzivnemu kmetijstvu namenjene površine v neposredni okolici naselij ter vse, tudi bolj oddaljene kraške doline, saj so bili to edini deli kraškega površja, kjer je prihajalo do akumulacije prsti, medtem ko je bilo preostalo zemljišče namenjeno paši in sečnji ter s tem nadaljnjemu vegetacijskemu krčenju. S postopno deagrarizacijo, ki je dosegla najbolj intenzivno fazo z opuščanjem pašne živinoreje po drugi svetovni vojni, se je obseg tradicionalnih agrarnih površin močno skrčil in v bistvu omejil le na donosnejše vinogradniške površine v neposredni okolici kraških naselij. Na ta način so se kmetijsko izrabljena tla, če izključimo gozdne površine, od leta 1900 do danes v okviru tržaške pokrajine skrčila za več kot 75% in za več kot 65% samo od leta 1951. Intenzivne kulture, se pravi njive, vinogradi in sadovnjaki, obsegajo danes le okrog 8% površja, medtem ko je bil še leta 1951 njihov obseg trikrat večji. Povečuje se torej obseg zaraščenih površin, ki se vse manj izkoriščajo in kultivirajo, nenazadnje zato, ker se nad temi površinami izvaja dokaj restriktivni varstveni nadzor, ob njih pa tudi delež neproduktivnih površin, to se pravi pozidanih, asfaltiranih in drugih lokalni agrarni izrabi odtujenih površin. V okviru teh površin so značilni številni razlastitveni posegi, na primer za državno cesto 202, za avtocesto, za begunska naselja pri Padričah, Opčinah, Proseku, Križu, Nabrežini, Sesljanu in Devinu, za naftovod, plinovod in električne daljnovode, za avtoport in končno za raziskovalno središče pri Padričah ter sinhrotron pri Bazovici. Skupno so zajele razlastitve na Krasu okrog 15% vseh površin.",", kar pomeni, da so samo v katastrski občini Trebče, kjer je bilo v začetku prejšnjega stoletja okoli 330 tisoč kvadratnih metrov obdelovalnih površin, kamne izkopali, odlomili in prečkali okoli 50 tisoč ton kamnov. Kamne so nato uporabili za gradnjo mejnih zidov med parcelami tako značilnimi za Kras, ali pa so jih naložili na kup in oblikovali številne in obsežne kamnite grobove, ki so tu in tam vidni še danes na robu kraških vasi. Kras je največjo kmetijsko rabo tal poznal že v prvi polovici prejšnjega stoletja, ko so bila območja v neposredni bližini naselij in vse bolj kraške doline namenjene intenzivnemu kmetijstvu, saj so bili to edini deli oddaljene kraške površine, kjer se je nakopičila zemlja, medtem ko je bilo zemljišče namenjeno krčenju in krčenju gozdov. S postopno deagrarizacijo, ki je svojo najintenzivnejšo fazo dosegla z opustitvijo pašne živinoreje po drugi svetovni vojni, se je obseg tradicionalnih agrarnih površin močno zmanjšal in pravzaprav omejil le na donosnejše vinorodne površine v neposredni bližini kraških naselij. Na ta način, če izključimo gozdne površine, so se kmetijska zemljišča v uporabi na območju Trsta od leta 1900 do danes skrčila za več kot 75% in za več kot 65% šele od leta 1951. Intenzivni posevki, to so polja vinogradov in sadovnjakov, danes predstavljajo le okoli 8% površine, leta 1951 pa je bil njihov obseg trikrat večji. Obseg zaraščenih površin, ki se vse manj uporabljajo in obdelujejo, se zato povečuje, nenazadnje tudi zato, ker so ta območja podvržena precej restriktivnemu varstvenemu nadzoru, skupaj z deležem neproduktivnih površin, to je pozidanih, tlakovanih in drugih lokalnih agrarnih rab odtujenih površin. Za ta območja so značilni številni razlastni posegi, na primer na državni cesti 202, za avtocesto, za begunska naselja v Padričah, Opčinah, Proseku, Križu, Nabrežini, Sesljanu in Devinu, za naftovod, plinovod in električno napeljavo, za avtoport in končno za raziskovalni center v bližini Padrič in Bazovice. Skupaj je bilo s kraškimi izselitvami pokritega približno 15% celotnega območja.","<pad> V katastrski občini Trebče, kjer je bilo v začetku prejšnjega stoletja okoli 330 tisoč kvadratnih"
1056,"Toda na Krasu ni šlo in ne gre le za zunanji medetnični stik, na kar opozarja že območje Devina in Štivana, ki je s svojimi verskimi kompleksi odigralo pomembno vlogo pri pokristjanjevanju kraškega prebivalstva najprej in povezovanju romanske in slovanske kulture kasneje, in kjer je leta 1607 nastal prvi italijansko-slovenski slovar. Lahko bi rekli, da danes tradicijo medkulturnega povezovanja v tem prostoru v nekem smislu nadaljuje Jadranski zavod združenega sveta. Za razliko od preteklosti pa je praksa medetničnega povezovanja postala na Krasu tudi vse bolj otipljiva in prisotna, saj je zaradi zgoraj navedene povojne naselitvene politike in družbenih procesov prišlo do spreminjanja poteka in lastnosti klasične etnične meje, ki si je v teku tega stoletja utrla pot preko Tržaškega Krasa in se tako razširila iz nekdaj dovolj jasne in linearne delitvene črte v tako imenovani interetnični kontinuum, ki ni več teritorialno definiran, ampak se z različno intenzivnostjo uveljavlja na celotnem območju kulturnega stika in demografskega prepletanja med avtohtonim in priseljenim prebivalstvom. Najbolj viden rezultat uveljavljanja situacije interetničnega kontinuuma so vse bolj številni mešani zakoni in čedalje težje ""objektivno"" etnično opredeljevanje, saj občutijo otroci mešanih zakonov ali celo otroci otrok mešanih zakonov istočasno pripadnost dvema ali celo več etničnim skupinam, seveda preko različnih asociativnih vezi, jezikovni kodeks znotraj interetničnega kontinuuma pa je odvisen od konkretnih okoliščin, funkcionalne namembnosti in tipa sogovornikov, nenazadnje pa tudi od družbene in politične klime. Danes smo vajeni, da o etničnih kategorijah govorimo v absolutnih terminih in navajamo, da se je od začetka stoletja do danes delež Slovencev na Tržaškem Krasu zmanjšal na primer od 90% na manj kot 50% v občini Devin-Nabrežina ali od 99% na okrog 80% v občinah Zgonik in Repentabor. V bodoče bo treba etnično opredeljevanje nujno relativizirati, saj ne bo mogoče prebivalcev Krasa in drugih območij etničnega ","Vendar pa Kras ni bil vpleten in ne gre le za zunanji medetnični stik, kot poudarjata Devin in Štivan, ki sta s svojimi religioznimi kompleksi igrala pomembno vlogo najprej pri pokristjanjevanju kraškega prebivalstva in kasneje pri povezovanju rimske in slovanske kulture, kjer je leta 1607 nastal prvi italijansko-slovenski slovar. Danes tradicijo medkulturnega povezovanja na tem področju v nekem smislu nadaljuje Jadranski inštitut združenega sveta. na Krasu je medetnično povezovanje postajalo vse bolj otipljivo in prisotno, saj je z omenjeno povojno poselitveno politiko in družbenimi procesi prišlo do sprememb v poteku in značilnostih klasične etnične meje, ki si je v tem stoletju utrla pot čez tržaški Kras in se tako iz nekoč dovolj jasne in linearne ločevalne črte razširila v t. i. medetnični kontinuum, ki ni več teritorialno opredeljen, temveč se z različno intenzivnostjo uveljavlja na celotnem območju kulturne interakcije in demografskega prepletanja med avtohtonim in priseljenskim prebivalstvom. Najbolj viden rezultat uveljavljanja položaja interesnega kontinuuma je vedno večje število mešanih zakonskih zvez in vse težje ""objektivno"" etnično določanje, saj se otroci mešanih zakonskih zvez ali celo otroci mešanih zakonskih zvez hkrati počutijo pripadni dvema ali celo več etničnim skupinam, seveda z različnimi asociativnimi vezmi. Jezikovna koda znotraj interesnega kontinuuma je odvisna od konkretnih okoliščin, funkcionalnega namena in vrste sogovornikov, nenazadnje pa tudi od socialne in politične klime. Danes smo navajeni govoriti o etničnih kategorijah v absolutnem smislu in navajati, da se je od začetka stoletja do danes delež Slovencev na Tržaškem Krasu zmanjšal, na primer, iz 90% na manj kot 50% v občini Devin-Nabrežina ali iz 99% na približno 80% v občinah Zgonik in Repentabor.","<pad> Toda na Krasu ni šlo in ne gre za zunanji medetnični stik, na kar opozarja"
1057,"kontinentalen prevzem je nato kamnarstvo, ki so ga v tem območju razvili že Rimljani in se je kasneje ohranilo kot dodatna dopolnilna dejavnost kraškega podeželja in postala kasneje v Nabrežini prava industrijska dejavnost, ki je v ta kraj dnevno privabljala samo z železnico nad tisoč delavcev, kar je več, kot je bilo vseh potnikov za Trst. Razvoj kamnarstva v drugi polovici prejšnjega stoletja ni le povzročil, da se je Nabrežina z dvema železniškima postajama, 40 kamnolomi, 22 kamnarskimi delavnicami in 35 gostilnami razvila v najbolj obsežno kraško naselje, ampak je močno vplivala tudi na razvoj gradbene tehnike in kulture v bližnji in širši okolici. V oblačilni kulturi je izraz mediteransko-kontinentalnega stika posebna noša, ki so jo kasneje, še posebno v ženski različici, obogatili z novimi detajli in prevzemi. V jezikovnem pogledu je Tržaški Kras dal svoje izvorno slovensko ime številnim kraškim pojavom po vsem svetu, na primer lokalni izraz ""dolina"", ki je prešel v mednarodno znanstveno terminologijo. A to je tudi območje številnih jezikovnih interferenc in prevzemov, čeprav so slednji praviloma številnejši v slovenskih govorih. Nenazadnje pa se na Tržaškem Krasu še danes stikata dve avtohtoni slovenski dialektalni skupini: kraška na zahodnem delu do Opčin in notranjska na območju tako imenovanega vzhodnega Krasa. Kras izraža torej tudi v družbeno-kulturnem pogledu vso svojo multiformnost in raznolikost, kar seveda ne zmanjšuje, temveč povečuje njegovo svojevrstnost in edinstvenost, s tem pa tudi privlačnost.","Kontinentalni prevzem je torej kamnoseštvo, ki so ga na tem območju razvili Rimljani in se je kasneje ohranilo kot dodatna dopolnilna dejavnost kraškega podeželja, kasneje pa je postalo prava industrijska dejavnost v Nabrežini, ki je v ta kraj dnevno privabila le še po železnici več kot tisoč delavcev, kar je več od števila potnikov za Trst. Razvoj kamnoseštva v drugi polovici prejšnjega stoletja je Nabrežini z dvema železniškima postajama, 40 kamnolomi, 22 kamnolomi in 35 gostilnami omogočil, da se je razvila v najobsežnejše kraško naselje, hkrati pa je močno vplival tudi na razvoj gradbenih tehnik in kulture v neposredni in širši okolici. V oblačilni kulturi je izraz mediteransko-kontinentalnega stika posebna noša, ki je bila kasneje obogatena z novimi detajli in pridobitvami, predvsem v ženski različici. Tržaški kras je v jezikoslovnem smislu dal svoje izvirno slovensko ime številnim kraškim fenomenom po vsem svetu, kot je na primer lokalni izraz ""dolina "", ki je bil preveden v mednarodno znanstveno terminologijo. Vendar je to tudi področje številnih jezikovnih interferenc in prevzemov, čeprav so slednji v slovenskih govorih običajno številčnejši. Ne nazadnje se na Tržaškem Krasu še danes povezujeta dve avtohtoni slovenski narečni skupini krasa na zahodnem delu z Opčinami in Notranjsko: na območju tako imenovanega vzhodnega Krasa. V smislu družbeno-kulturnih vidikov Kras torej izraža vso svojo mnogoformalnost in raznolikost, ki pa seveda ne zmanjšuje, ampak povečuje svojo svojskost in svojskost ter s tem svojo privlačnost.","<pad> kontinentalen prevzem je bil tudi kamnarstvo, ki so ga razvili Rimljani in se"
1058,"Bufon, M., in Kalc, A. (ur.) (1990): Krajevni leksikon Slovencev v Italiji - Prva knjiga, Tržaška pokrajina. Trst, ZTT.","Bufon, M., in Kalc, A. (ur.) (1990): Krajevni leksikon Slovencev v Italiji - Prva knjiga, Tržaška pokrajina.","<pad> Bufon, M., in Kalc, A. (ur.) (1990): Krajevni"
1059,"Sgonico - L'uomo e la natura (1999). Sgonico, Comune di Sgonico.","Sgonico - L 'uomo e la natura (1999) Sgonico, Comune di Sgonico.",<pad> Sgonico - L'uomo e la natura (1999). Sgonico -
1060,pregledno izvirno znanstveno delo UDK 81'246.2: 371.3,Pregled izvirnega znanstvenega dela UDC 81 '246.2: 371.3,<pad> UDK 81'246.2: 371.3</s>
1061,"Modeli dvojezičnega izobraževanja v svetu so v zadnjih petdesetih letih bili pogosto v središču političnih, družbenih in ekonomskih obravnav, kar je vplivalo na procese njihovega razvoja in postopke spreminjanja. V večini dežel zahodne Evrope gre za postopno uveljavljanje manjšinskih, pogosto tudi manj razširjenih jezikov (ang. minority and lesser used languages), kar v različnih oblikah izobraževanja pomeni ohranjanje jezika in kulture narodnostnih manjšin. V srednji in vzhodni Evropi pa so na položaj posameznih etnij in posredno na vsebino njihovega družbenega in kulturnega delovanja vplivale tudi politične spremembe.","V zadnjih petdesetih letih so bili dvojezični modeli izobraževanja v svetu pogosto v središču političnih, družbenih in gospodarskih razprav, kar je vplivalo na procese njihovega razvoja in procese sprememb. V večini držav zahodne Evrope gre za postopno vzpostavitev manjšinskih in manj razširjenih jezikov (manjšinski in manj razširjeni jeziki), kar v različnih oblikah izobraževanja pomeni ohranjanje jezika in kulture narodnih manjšin. V srednji in vzhodni Evropi so politične spremembe vplivale na položaj posameznih etničnih skupin in posredno na vsebino njihovih družbenih skupin.","<pad> Modeli dvojezičnega izobraževanja v svetu so v zadnjih petdesetih letih bili pogosto v središču političnih, družbenih in"
1062,"- refleksijo družbenih in političnih sprememb na šolstvo v teh okoljih,","- refleksija družbenih in političnih sprememb na področju izobraževanja v teh okoljih,","<pad> - refleksijo družbenih in političnih sprememb na šolstvo v teh okoljih,</s>"
1063,"- opis inovacijskega (integriranega) modela zgodnjega poučevanja italijanskega jezika kot drugega jezika na razredni stopnji osnovne šole (Nacionalno šolstvo, 1997).","- opis inovativnega (integriranega) modela zgodnjega poučevanja italijanskega jezika kot drugega jezika na razredni stopnji osnovne šole (National Education, 1997).",<pad> - opis inovacijskega (integriranega) modela zgodnjega poučevanja italijanskega jezika kot drugega jezika na razredni
1064,"Opis dvojezičnih modelov v elaboratu se loteva dveh stvarnosti, in sicer izobraževanja Slovencev v Italiji in izobraževanja za dvojezičnost v Sloveniji, natančneje šolstva na narodnostno mešanem območju Slovenske Istre. Model večinskega šolstva v Slovenski Istri je le delno predstavljen, in sicer v posebnostih zgodnjega učenja/poučevanja drugega jezika (Čok, 1996, 225-240). Učinki inovacijskega procesa (1991-1994) na pouk italijanskega jezika kot drugega jezika so zanimivi za kurikularno prenovo slovenske osnovne šole.","Opis dvojezičnih modelov v raziskavi obravnava dve realnosti, in sicer izobraževanje Slovencev v Italiji in izobraževanje za dvojezičnost v Sloveniji, natančneje izobraževanje na narodnostno mešanem območju slovenske Istre. Model večinskega izobraževanja v slovenski Istri je le delno predstavljen, in sicer v specifiki zgodnjega učenja / poučevanja drugega jezika (Čok, 1996, 225-240). Učinki inovacijskega procesa (1991-1994) na poučevanje italijanščine kot drugega jezika so zanimivi za kurikularno prenovo učnega načrta pri poučevanju italijanščine kot drugega jezika.","<pad> Opis dvojezičnih modelov v elaboratu se loteva dveh stvarnosti, in sicer izobraževanja Slovencev v Italiji"
1065,"1. Specifika narodnostno mešanih okolij: enotnost kulturnega in etničnega prostora in omejitveni dejavniki, dnevne migracije in šolstvo, funkcija šole v procesu ohranitve družbenih in kulturnih vrednot ipd.","(1) Specifikacija etnično mešanih okolij: enotnost kulturnega in etničnega prostora in omejitveni dejavniki, dnevne migracije in izobraževanje, funkcija šole v procesu ohranjanja družbenih in kulturnih vrednot itd.","<pad> 1. Specifikacija narodnostno mešanih okolij: enotnost kulturnega in etničnega prostora in omejitveni dejavniki,"
1066,ŠOLSKI MODEL IN INAČICE SLOVENSKEGA ŠOLSTVA V ZAMEJSTVU,Model šole in slovenski šolski modeli v čezmejnih situacijah,<pad> ŠOLSKI MODEL IN INAČICE SLOVENSKEGA ŠOLSTVA V ZAMEJ
1067,"Evropa različnih kultur, narodov in narodnostnih skupnosti se bo ohranila le, če bo temeljna vez stičnih in sožitvenih lastnosti dovolj močna. Mnogi skupni evropski dokumenti poskušajo postaviti izhodišča razmeram, ki naj bi v večinskih okoljih ohranjala različnost jezikov in posebnosti kultur manjšinskih skupnosti. Večina evropskih držav vgrajuje v šolske reforme medkulturne vsebine in oblike izobraževanja za večjezičnost. Ta sicer ni vselej le avtohtona večjezičnost, vendar je pomen manjšinskih in sosedskih jezikov vselej izpostavljen.","Evropa različnih kultur, narodov in etničnih skupnosti bo preživela le, če bo temeljna vez skupnih in soplemenskih značilnosti dovolj močna. Številni skupni evropski dokumenti poskušajo postaviti izhodišče za razmere, ki bi morale v večinskih okoljih ohranjati jezikovno raznolikost in posebnosti kultur manjšinskih skupnosti. Večina evropskih držav v šolske reforme vključuje medkulturne vsebine in oblike večjezičnega izobraževanja.","<pad> Evropa različnih kultur, narodov in narodnosti se bo ohranila le, če bo temeljna vez stičnih in"
